mt19937,minstd,knuth_b,ranlux48,Quasi
51.95216,27.81823,97.40294,72.88083,14.84375
36.11749,52.20718,72.65899,6.43236,21.09375
50.68493,56.23945,61.66121,35.1516,71.09375
51.29825,49.66395,86.93202,51.07281,96.09375
11.35156,73.72663,16.73507,92.49002,46.09375
3.52581,52.48421,82.03129,20.17063,33.59375
37.7414,47.60779,19.4764,24.49001,83.59375
27.25315,82.73941,10.67584,59.60587,58.59375
35.20126,21.64092,62.22336,92.83301,8.59375
68.98512,49.04219,72.80092,58.33756,11.71875
87.28895,5.50751,69.26218,37.36871,61.71875
79.11474,25.58308,66.37913,49.20063,86.71875
47.76395,0.9993,35.01774,78.87374,36.71875
13.58447,11.74215,46.51982,66.24499,49.21875
95.26298,70.82821,80.71618,20.50426,99.21875
21.08692,27.26446,53.66458,73.70362,74.21875
4.75877,99.08868,8.5035,8.26159,24.21875
57.23309,19.894,84.36591,22.41199,17.96875
19.62489,82.71639,93.60092,14.21695,67.96875
94.50365,75.14054,51.50898,8.24755,92.96875
3.21775,64.49649,20.73721,24.92776,42.96875
92.85622,33.6809,19.66216,64.12669,30.46875
99.26686,22.67412,62.46351,88.84631,80.46875
18.38271,38.39702,96.87093,81.908,55.46875
59.04923,95.12252,84.77313,58.07118,5.46875
93.10302,87.00479,9.74213,12.21402,3.90625
55.91079,42.10016,8.58406,64.51994,53.90625
46.13427,0.08651,51.59598,7.50406,78.90625
93.08904,46.10335,46.61682,82.87866,28.90625
15.82935,40.2313,3.03833,66.03663,41.40625
32.71607,20.66398,98.39338,55.87315,91.40625
28.84334,36.68017,56.60852,84.59179,66.40625
65.81104,2.93055,29.00469,69.52434,16.40625
35.58525,85.29502,36.60695,90.11942,22.65625
26.15425,44.82663,81.85586,46.19784,72.65625
4.87108,50.29482,68.67963,21.73692,97.65625
5.89714,52.53123,23.25527,26.54991,47.65625
1.83008,66.18954,38.03716,34.60678,35.15625
1.80572,3.07857,29.69691,23.25669,85.15625
24.72159,95.84938,87.67459,57.85585,60.15625
65.4565,74.91772,11.40467,41.50725,10.15625
17.79484,94.37013,33.65142,9.61929,7.03125
69.57418,72.94073,5.95461,67.83206,57.03125
85.29593,55.09423,48.87077,58.55178,82.03125
4.76467,66.92429,33.53059,31.43454,32.03125
2.52287,4.32658,95.20226,38.87152,44.53125
4.03581,93.77641,1.16081,29.25777,94.53125
61.9718,3.66568,87.56554,48.70274,69.53125
28.56784,97.83629,46.79044,76.09962,19.53125
93.66648,46.18515,86.4379,80.80924,13.28125
5.25841,5.88738,19.35167,94.16881,63.28125
68.73445,91.52352,52.80969,82.18009,88.28125
91.25054,57.66519,99.1274,91.97586,38.28125
23.51303,67.83552,94.11108,60.44869,25.78125
98.69823,79.6342,51.39934,51.83987,75.78125
13.58238,49.31114,90.53812,86.42038,50.78125
54.26748,9.74043,2.54627,16.87927,0.78125
36.73691,79.91166,0.17173,32.76848,1.17188
99.87189,96.73741,76.72285,60.59221,51.17188
94.0889,11.52817,89.76606,58.73804,76.17188
15.5297,16.2391,36.76771,1.2595,26.17188
83.46987,39.13618,15.16433,0.02265,38.67188
20.30525,34.91998,80.81061,25.22143,88.67188
53.09064,18.26848,58.01961,32.27686,63.67188
39.34277,52.759,86.65816,37.84226,13.67188
67.4676,16.58424,76.38468,88.1726,19.92188
0.18969,6.10386,11.68684,75.31574,69.92188
36.82076,40.73092,1.41317,19.27803,94.92188
29.79214,4.37246,38.73436,86.16835,44.92188
96.57609,30.79583,89.14567,50.47214,32.42188
70.91479,13.12825,79.25908,58.63643,82.42188
24.39322,92.9157,30.60271,0.20429,57.42188
6.48025,24.62286,98.16098,96.81868,7.42188
25.24367,26.66185,19.68654,53.16637,10.54688
30.31028,48.82082,59.16764,35.54487,60.54688
75.61858,2.60949,98.20172,53.44204,85.54688
21.21622,35.38288,78.01088,51.32313,35.54688
13.06123,89.63161,97.76012,12.61184,48.04688
62.30297,67.2372,98.26373,4.07883,98.04688
25.2462,41.47606,37.74607,31.39443,73.04688
61.29031,26.45646,78.64954,24.62137,23.04688
22.14662,84.78566,39.81209,37.70611,16.79688
24.61412,56.12335,18.7223,93.87526,66.79688
2.94203,48.55383,46.26043,68.64153,91.79688
42.8634,81.60456,91.91651,72.64552,41.79688
19.89118,43.51772,80.29804,94.21097,29.29688
51.47798,49.49358,35.82275,97.27619,79.29688
79.32382,86.26646,47.68933,50.83594,54.29688
47.54524,10.03918,75.60598,16.9866,4.29688
35.52542,43.58178,97.34195,55.75731,5.85938
8.53501,71.678,99.71775,64.75062,55.85938
77.84597,29.38784,46.1719,53.44502,80.85938
54.45706,42.46022,11.00275,11.8924,30.85938
99.01965,67.98491,35.82955,83.94616,43.35938
35.28286,48.49465,65.36569,25.58253,93.35938
96.21646,61.69779,71.04711,35.93918,68.35938
93.90882,12.86706,8.81875,44.63638,18.35938
73.47305,20.08728,82.02201,62.56032,24.60938
98.91855,6.15524,98.27069,11.93635,74.60938
40.8529,26.63724,29.84406,28.88428,99.60938
12.02192,70.26,12.99775,96.22053,49.60938
48.23118,89.30688,52.26766,20.34256,37.10938
52.51275,31.34321,11.06381,16.56763,87.10938
94.08335,63.21324,54.28966,9.32554,62.10938
60.91123,58.91832,93.47132,83.9355,12.10938
76.0626,34.28778,14.60053,24.08365,8.98438
49.23994,19.80564,5.43105,50.6109,58.98438
92.04273,12.23831,43.14661,72.07873,83.98438
6.76777,80.74754,14.10911,25.02954,33.98438
25.91776,50.71224,89.38625,69.76275,46.48438
31.1101,37.55702,43.71949,94.24084,96.48438
56.24245,35.59932,22.50798,31.37774,71.48438
37.63089,78.4578,53.00011,49.89705,21.48438
53.86342,8.0494,26.29099,78.33525,15.23438
42.79195,38.76214,58.6754,53.63939,65.23438
73.9491,87.47646,70.60901,20.21483,90.23438
22.12917,54.39277,19.51643,21.53332,40.23438
37.82783,78.37525,52.72541,95.76256,27.73438
49.01034,38.45875,72.4431,32.21532,77.73438
82.58978,13.23998,86.56266,70.6634,52.73438
54.31981,46.78915,87.06539,57.70299,2.73438
94.64461,47.73333,45.82681,55.3814,1.95313
41.58464,42.26565,23.57935,57.36986,51.95313
28.5638,99.88908,43.45391,89.81172,76.95313
85.29818,75.03939,99.73013,53.55201,26.95313
15.60641,43.09473,84.80538,34.62189,39.45313
15.56318,60.06452,61.3981,17.51903,89.45313
16.3325,86.51461,8.55136,74.78001,64.45313
25.26555,23.96709,29.54086,70.48799,14.45313
31.85872,30.17853,26.16232,33.94654,20.70313
69.77334,61.19376,25.61146,21.15421,70.70313
88.36838,92.99555,71.52238,14.35233,95.70313
56.93689,71.9955,48.59442,69.5421,45.70313
11.39987,50.13247,9.71338,13.01438,33.20313
96.18322,12.95563,80.07411,69.50508,83.20313
29.19498,1.41409,24.22321,30.25628,58.20313
86.54754,1.86863,14.01598,30.39555,8.20313
80.16116,42.46108,66.46552,99.79056,11.32813
80.60614,95.02231,7.45885,68.62162,61.32813
68.10644,7.6795,1.23127,90.41794,86.32813
24.863,25.71363,88.22975,28.01963,36.32813
45.91045,7.98688,50.6649,60.44345,48.82813
62.28884,66.8251,55.65541,70.11432,98.82813
30.48386,39.60061,92.34077,19.01603,73.82813
9.70333,86.85908,22.0712,31.6223,23.82813
34.55801,40.8251,54.25986,84.34354,17.57813
34.00124,94.7374,29.70121,65.84694,67.57813
79.20364,55.687,61.95783,29.1415,92.57813
67.19107,42.45441,72.92939,45.51295,42.57813
6.27151,37.16237,92.45177,54.48988,30.07813
36.80293,62.84637,16.70113,78.8968,80.07813
37.97472,67.9804,63.97794,17.0675,55.07813
68.05939,19.41939,1.48184,43.77206,5.07813
46.69107,56.14698,64.43698,11.49989,3.51563
60.7663,5.56555,87.99805,10.97316,53.51563
0.11192,96.89802,54.89835,60.7824,78.51563
39.7145,49.13689,53.47576,63.24889,28.51563
51.16553,12.52108,26.96728,45.05636,41.01563
80.95028,74.62324,30.34684,87.96403,91.01563
31.0595,23.50879,64.23083,60.33065,66.01563
14.10752,8.00408,89.0686,90.31102,16.01563
26.25258,31.83097,29.90924,71.43682,22.26563
42.91563,12.95826,29.6746,42.24665,72.26563
36.44977,59.6125,37.51698,61.39008,97.26563
56.27585,40.84194,2.39141,12.57679,47.26563
41.48315,52.78339,48.76473,35.51869,34.76563
6.87626,1.65032,8.37557,87.72407,84.76563
86.94754,5.83534,60.98749,3.18658,59.76563
23.31853,89.12702,0.47941,56.80885,9.76563
8.73142,11.11465,43.14151,34.33287,6.64063
84.21675,62.01086,33.73414,63.2385,56.64063
82.2505,64.13065,71.7709,27.57382,81.64063
31.95043,98.81605,57.38959,86.37604,31.64063
99.43538,34.79958,92.72896,81.33126,44.14063
93.7514,73.46808,76.60865,30.6826,94.14063
40.35297,75.55158,77.94705,50.68359,69.14063
95.05094,68.56961,90.57718,47.97647,19.14063
64.52369,92.58969,84.45295,43.07056,12.89063
24.82758,36.21763,89.41424,76.31926,62.89063
38.9388,69.50488,22.73288,15.54136,87.89063
32.54517,43.26959,24.30691,89.93861,37.89063
20.01533,75.30198,53.15159,48.16123,25.39063
43.96576,70.05937,88.15815,42.12076,75.39063
52.9174,47.70373,34.87912,37.86744,50.39063
73.55311,44.09366,14.76449,11.98813,0.39063
98.97326,69.96713,17.88778,19.7654,0.58594
92.998,98.09655,82.46594,12.51662,50.58594
55.27679,22.48873,56.02077,82.09359,75.58594
8.87589,24.51687,26.43577,4.1847,25.58594
96.11306,72.21436,53.79468,47.34893,38.08594
77.07441,67.21692,56.41333,38.03359,88.08594
21.41355,56.53652,6.03465,16.24846,63.08594
2.15002,18.29651,79.33965,54.12446,13.08594
3.69177,85.11307,12.31768,6.2666,19.33594
22.47295,97.27486,22.22298,10.71685,69.33594
57.73778,37.1744,68.92463,24.26882,94.33594
87.53183,10.87795,64.78795,17.40878,44.33594
11.12139,20.82215,17.02145,79.07806,31.83594
42.14939,47.46658,46.45041,97.64722,81.83594
15.65356,20.78029,9.88326,94.05735,56.83594
7.88545,58.13875,52.5822,10.84424,6.83594
98.6742,27.18668,68.19553,10.03173,9.96094
79.44927,17.52359,76.25305,89.20012,59.96094
92.77101,0.90846,77.22178,17.19335,84.96094
53.0471,28.15734,9.80885,20.53796,34.96094
17.36865,28.56906,48.42453,33.98514,47.46094
37.86744,96.67693,92.48203,40.74117,97.46094
83.39274,76.94552,0.89322,71.18725,72.46094
34.3897,67.03578,91.04657,45.97283,22.46094
1.2648,40.63149,89.57217,3.55527,16.21094
88.30392,60.16881,8.04147,41.88389,66.21094
16.54662,63.67199,78.21544,34.75015,91.21094
42.50133,25.82154,85.30228,58.4845,41.21094
61.2153,81.15729,6.94517,40.09347,28.71094
5.38804,78.50183,71.46587,9.35967,78.71094
77.91671,97.22328,78.84816,23.76565,53.71094
78.99758,96.51316,17.20358,94.20641,3.71094
78.72784,60.15639,56.08602,69.22567,5.27344
52.46274,31.59433,70.98969,87.41128,55.27344
3.62602,84.16668,39.10446,87.311,80.27344
45.38369,25.4628,39.53046,16.25132,30.27344
7.27762,44.54778,4.20719,21.33912,42.77344
75.24099,76.92998,43.10485,43.6963,92.77344
72.72055,51.21435,92.23376,20.82142,67.77344
30.22875,50.63775,23.78386,14.91154,17.77344
16.22731,50.42092,39.37871,12.40135,24.02344
26.67057,3.35987,35.38892,95.91057,74.02344
91.62635,64.0165,73.08379,14.49284,99.02344
96.99178,81.3274,19.64029,76.41454,49.02344
51.79023,1.19637,48.77034,43.41051,36.52344
36.83208,51.68045,95.88126,12.34411,86.52344
75.59732,24.16661,30.7946,41.31923,61.52344
23.36496,32.29608,61.76861,1.56479,11.52344
85.6605,0.68845,46.43753,4.43823,8.39844
54.56953,47.258,95.60878,90.67995,58.39844
23.11962,57.91629,56.83256,18.53122,83.39844
99.43174,78.64027,7.9279,42.16954,33.39844
84.29707,83.13947,21.86607,94.24039,45.89844
27.34685,44.55322,29.59251,30.08317,95.89844
83.65466,77.36783,46.40053,79.95865,70.89844
10.8705,98.54691,84.51877,76.87322,20.89844
44.61345,28.82416,57.36421,8.18214,14.64844
89.08254,52.57733,94.30866,33.47665,64.64844
79.01195,67.41759,72.85909,50.93183,89.64844
9.2648,41.56037,41.39282,87.19878,39.64844
39.97072,19.74733,87.34329,76.9734,27.14844
46.58732,29.21616,20.45724,87.39695,77.14844
91.31532,49.52238,8.1868,10.60261,52.14844
72.61296,15.00233,37.91747,70.6923,2.14844
71.46948,11.25537,67.64536,40.12481,2.92969
5.61868,54.51843,1.47001,89.26806,52.92969
96.64696,34.75362,5.49927,96.62216,77.92969
51.80523,48.26329,87.03198,18.27278,27.92969
9.4629,86.60693,65.14315,4.60482,40.42969
46.60855,61.06466,39.06353,90.57435,90.42969
91.22455,12.41154,81.64273,25.91869,65.42969
64.95088,2.15341,17.83115,24.47459,15.42969
20.25693,61.89702,24.94905,4.09439,21.67969
6.63685,29.5741,39.45022,30.58126,71.67969
17.92537,36.08869,46.68424,89.78163,96.67969
86.82825,45.55121,95.00853,7.57607,46.67969
33.37046,65.28187,73.58057,41.2245,34.17969
43.44754,29.43579,83.68868,59.32048,84.17969
27.94957,74.22581,95.29893,78.14131,59.17969
11.9334,57.05746,43.14068,44.84255,9.17969
35.40115,71.51676,14.70108,35.1787,12.30469
42.80717,6.82352,59.22163,99.58272,62.30469
51.94838,69.54231,44.27671,74.25487,87.30469
57.11155,78.73293,86.43425,73.5043,37.30469
38.4741,17.74321,11.49074,70.09037,49.80469
63.63917,9.99535,42.79677,12.65071,99.80469
34.44023,29.59819,37.95362,21.52508,74.80469
17.92475,84.72478,63.15775,40.892,24.80469
85.82247,86.82264,64.35023,47.23166,18.55469
6.26516,84.99763,3.83525,80.05875,68.55469
0.28207,50.09678,43.50934,37.09015,93.55469
10.71961,90.00136,51.8874,22.44934,43.55469
36.5473,86.56099,74.72579,72.19469,31.05469
47.81468,74.25223,40.76233,42.82374,81.05469
78.42882,42.77702,36.55546,35.27381,56.05469
36.6802,11.11718,98.08796,45.59349,6.05469
7.69067,26.94955,37.764,64.94453,4.49219
77.04156,42.10229,78.41133,82.85222,54.49219
24.6247,39.20387,75.43834,45.47357,79.49219
57.36318,94.93868,10.857,24.7038,29.49219
88.29267,98.16378,36.01286,34.94748,41.99219
15.87583,69.75269,59.32572,66.63452,91.99219
42.52005,73.61642,47.99459,20.67361,66.99219
28.10049,58.79734,26.21575,20.33347,16.99219
90.61262,33.24043,39.715,69.16322,23.24219
72.18503,7.94493,34.39539,90.15364,73.24219
52.89908,13.22217,71.34458,42.64219,98.24219
44.23317,46.75868,92.14276,24.1472,48.24219
22.7562,17.79708,15.35258,81.51096,35.74219
48.04976,81.06625,58.07977,11.60351,85.74219
69.15408,9.87952,81.03851,18.716,60.74219
36.87996,43.92567,57.90483,81.28048,10.74219
45.03349,6.13035,67.14724,76.10759,7.61719
47.01186,59.5845,4.25493,89.20935,57.61719
7.12813,35.24958,81.213,40.59559,82.61719
79.06268,17.39879,66.64873,67.05464,32.61719
56.06328,91.95688,19.3702,53.66994,45.11719
65.96512,76.87296,47.24508,71.4734,95.11719
22.39088,95.4952,9.87138,93.91684,70.11719
94.64195,53.6219,65.83036,95.23651,20.11719
13.72476,81.15455,5.99601,68.93274,13.86719
61.47719,65.27253,8.35849,80.89905,63.86719
90.31098,53.64522,79.4364,36.63973,88.86719
20.49518,16.74984,62.61086,23.17743,38.86719
68.50632,17.12313,71.15149,73.85675,26.36719
18.20348,64.01498,0.45528,35.41163,76.36719
63.75067,94.24114,98.95721,96.52616,51.36719
92.65629,87.2619,5.95471,40.01427,1.36719
35.93964,20.1319,59.33781,61.72856,0.97656
74.00927,44.67229,39.34721,85.78825,50.97656
85.38247,17.13005,72.93133,89.08258,75.97656
89.0307,47.9007,44.55946,22.82248,25.97656
21.75271,98.32501,67.54785,96.10269,38.47656
57.06399,96.44089,1.65509,2.84158,88.47656
22.30168,73.02985,29.59443,94.76375,63.47656
49.19951,26.42548,11.29602,12.78495,13.47656
52.97679,17.76539,52.9237,22.10765,19.72656
36.04429,84.81118,31.17509,0.43127,69.72656
91.11326,65.96297,38.75749,13.21032,94.72656
43.15325,23.82153,29.56855,80.83725,44.72656
77.80626,20.89075,48.9538,8.05396,32.22656
6.40833,55.42307,75.93553,63.40146,82.22656
62.28045,31.53594,71.0362,73.47744,57.22656
92.4576,39.85884,70.09172,51.55107,7.22656
29.59131,19.94695,43.37562,38.86103,10.35156
66.25153,87.15156,53.70938,44.71572,60.35156
73.41796,85.73272,86.65787,3.6979,85.35156
84.80185,1.86336,6.49184,96.73042,35.35156
89.20009,89.40935,28.66959,84.40896,47.85156
66.56248,44.90055,11.87824,94.84847,97.85156
17.74287,12.85651,74.71965,82.05069,72.85156
10.93541,14.02981,25.28772,90.55411,22.85156
35.44836,92.54016,34.22847,11.82555,16.60156
23.50639,60.11197,24.41689,45.79078,66.60156
55.88286,45.44576,24.39158,17.99315,91.60156
57.8382,99.14736,47.53527,11.35008,41.60156
61.71257,42.45307,49.42651,95.79932,29.10156
92.22724,73.64394,13.48549,10.72013,79.10156
64.83015,39.14584,62.75249,62.28875,54.10156
9.10824,82.058,81.31811,44.76283,4.10156
5.38143,59.24464,62.94124,13.55935,5.66406
43.86604,53.26167,48.63563,30.93605,55.66406
6.09594,61.79215,88.34371,32.60387,80.66406
23.28258,25.80337,27.82897,64.17994,30.66406
65.04326,93.55985,81.42708,95.92911,43.16406
64.79644,78.85403,72.32258,72.28171,93.16406
1.4124,0.67514,99.82966,35.4443,68.16406
31.98713,45.02373,88.93124,41.36915,18.16406
17.19806,65.67386,25.23081,93.30652,24.41406
6.76195,93.41033,97.4568,38.07491,74.41406
82.68316,93.44704,51.36496,21.94692,99.41406
80.30816,76.25077,93.20185,11.76594,49.41406
15.19551,35.16623,35.96029,78.13764,36.91406
87.91591,31.43044,45.15439,45.75881,86.91406
35.60454,42.62926,72.23518,69.65408,61.91406
1.46943,11.62106,9.30549,57.67895,11.91406
30.34687,47.72049,80.86073,70.65193,8.78906
83.7,39.16252,11.69082,32.5965,58.78906
57.46255,81.13321,30.16292,27.89445,83.78906
17.53985,20.62152,50.51757,77.12923,33.78906
91.47528,61.30827,83.49969,75.46501,46.28906
82.42574,17.79157,57.11225,7.61545,96.28906
2.24682,42.42003,21.74891,82.02021,71.28906
35.01106,89.75066,60.11462,51.95266,21.28906
49.07911,41.75337,17.9936,85.43155,15.03906
25.10797,52.95681,25.30495,64.64773,65.03906
88.16141,11.87007,87.58046,79.16395,90.03906
11.24023,45.12711,61.69993,20.52944,40.03906
16.23618,10.85748,37.20846,5.70265,27.53906
68.90793,14.44569,87.50443,64.63575,77.53906
60.26231,92.26313,85.64822,77.31649,52.53906
69.70997,49.35071,43.52766,66.46725,2.53906
12.0125,54.68752,32.47773,98.81061,1.75781
86.69598,77.20932,11.99657,20.92619,51.75781
49.55229,59.32277,71.89446,94.15921,76.75781
0.85891,69.33532,46.86264,80.87559,26.75781
18.62509,45.58893,17.60103,80.83725,39.25781
20.17526,74.26957,95.86532,96.82647,89.25781
75.32854,85.1961,37.53464,10.99804,64.25781
74.26995,71.71998,5.2665,25.02298,14.25781
75.24149,49.92827,10.87636,64.27838,20.50781
52.22861,33.68172,51.4061,54.92698,70.50781
81.10305,40.3038,84.00383,35.01578,95.50781
5.21182,40.02511,77.25107,77.29054,45.50781
9.78681,84.15728,3.88072,29.49907,33.00781
28.3774,49.90221,51.27931,27.72702,83.00781
20.18806,20.21408,27.55208,10.12741,58.00781
60.04621,52.59919,85.54002,87.11601,8.00781
61.07613,36.47951,35.64383,52.98336,11.13281
57.36216,41.72499,82.25143,23.26179,61.13281
45.78759,90.82105,11.65356,82.64108,86.13281
31.22122,38.46082,50.90639,53.85841,36.13281
95.67883,69.20032,55.86666,47.07736,48.63281
39.00095,11.03356,77.8769,60.33794,98.63281
38.67996,27.62853,76.48406,55.16339,73.63281
25.00751,35.80902,90.81127,72.81939,23.63281
19.44465,42.97204,9.86157,9.16754,17.38281
23.42239,74.96125,1.02428,17.84738,67.38281
62.08538,52.87831,48.2673,58.98279,92.38281
89.73452,53.17811,33.26995,3.58725,42.38281
12.10933,3.41341,67.00612,24.51641,29.88281
99.62712,81.09393,59.06027,80.65973,79.88281
70.95316,65.85779,1.25477,89.61907,54.88281
50.32946,46.22494,8.08159,40.2919,4.88281
82.36314,42.24428,35.815,2.94975,3.32031
43.92676,45.83033,44.15108,42.75756,53.32031
72.42719,25.14568,40.67796,40.21343,78.32031
76.6572,69.15539,83.29461,45.31926,28.32031
94.9293,53.13901,27.1774,90.24244,40.82031
0.25519,43.62638,68.5585,48.78661,90.82031
56.11176,90.54664,79.19391,27.45342,65.82031
91.71534,26.02777,61.39556,30.65879,15.82031
30.24991,83.86051,72.94554,85.42125,22.07031
82.34645,58.17692,8.25618,29.531,72.07031
43.62035,43.15979,28.27274,77.88408,97.07031
44.15024,3.70605,77.39195,72.73825,47.07031
11.81633,54.38824,18.47707,85.89031,34.57031
9.06671,8.56721,73.96577,81.44707,84.57031
96.01103,20.86574,83.69553,34.75704,59.57031
1.81438,76.50466,28.54057,58.64502,9.57031
40.58294,69.95196,77.22145,18.04489,6.44531
76.48608,87.15007,38.88233,57.89071,56.44531
56.55195,3.32732,59.06731,86.43411,81.44531
41.00283,73.39304,79.29919,22.04982,31.44531
43.93638,83.79098,27.04751,86.06956,43.94531
14.42693,82.24073,44.37074,79.55399,93.94531
64.22305,11.63547,79.29089,80.15681,68.94531
28.68819,89.44036,97.62246,72.37529,18.94531
8.29717,79.15981,55.9343,37.76876,12.69531
62.063,5.3468,5.67201,15.23298,62.69531
61.59959,85.21493,43.3674,22.84657,87.69531
2.18473,12.90197,88.63225,33.45184,37.69531
57.84121,85.0981,54.59326,41.84636,25.19531
49.12631,6.42132,67.37608,90.68015,75.19531
29.9849,13.97696,43.17563,58.60431,50.19531
33.95335,20.79954,85.52676,26.55818,0.19531
24.22931,58.11258,8.49417,57.73206,0.29297
67.26164,19.85633,94.23539,90.80214,50.29297
33.71841,23.22022,16.67285,58.83145,75.29297
12.38636,56.75364,55.01624,26.03599,25.29297
77.95019,77.62177,59.97635,93.59758,37.79297
56.37559,66.51265,0.51421,52.96729,87.79297
10.40172,62.44894,56.94466,27.35912,62.79297
22.51011,2.87303,30.17296,19.03758,12.79297
27.34972,34.01161,7.48666,18.9246,19.04297
20.85221,41.85111,14.37266,63.27382,69.04297
16.92253,81.03852,0.37281,67.68871,94.04297
66.55893,97.25043,72.70893,44.64239,44.04297
63.70331,66.17139,50.47071,48.80314,31.54297
96.37998,51.13957,92.94697,6.51132,81.54297
48.69911,26.72418,39.64042,74.50535,56.54297
3.18595,50.29444,90.55369,24.7457,6.54297
25.3216,51.78015,25.93521,0.51764,9.66797
3.17761,21.85272,22.85614,58.41718,59.66797
25.10753,22.83067,53.16776,73.46582,84.66797
54.09269,77.73416,75.17067,23.88513,34.66797
86.38394,23.25268,80.1425,34.90948,47.16797
38.39088,8.91322,13.1381,81.67984,97.16797
40.50002,66.19179,73.01572,28.5811,72.16797
0.67278,99.26575,40.65324,92.85353,22.16797
33.58629,19.223,34.2067,2.15342,15.91797
38.9998,29.91894,70.84157,25.82452,65.91797
16.8815,57.47417,3.62494,9.07385,90.91797
71.16341,71.51543,43.50199,54.09075,40.91797
3.41951,9.94109,49.82894,95.62315,28.41797
33.05471,21.42281,27.27869,38.89194,78.41797
85.64013,10.73005,91.23664,18.3911,53.41797
81.23641,58.53286,11.98347,21.19316,3.41797
50.2503,79.95409,38.68331,9.57923,4.98047
60.83381,69.46739,11.73213,58.69012,54.98047
78.96437,81.13654,52.32482,98.20584,79.98047
2.94472,60.81165,1.44222,95.38346,29.98047
75.47745,54.98772,71.54052,88.82337,42.48047
35.9226,21.73139,93.01458,64.20504,92.48047
87.64231,62.11252,66.8859,20.43043,67.48047
97.18424,43.00582,33.16327,51.94662,17.48047
94.70813,81.88053,5.69167,77.04242,23.73047
11.35867,39.81765,85.71606,20.87731,73.73047
33.601,90.66798,17.42924,54.89604,98.73047
59.91623,48.30758,64.04965,48.33162,48.73047
65.98218,12.65028,71.14624,82.04757,36.23047
17.55643,59.95963,17.10514,43.45481,86.23047
46.28397,68.47131,98.91617,89.68164,61.23047
25.61041,91.90352,12.36711,56.42435,11.23047
