Quasi,mt19937,minstd,knuth_b,ranlux48
60.15625,34.6413,91.46162,65.21347,16.73506
10.15625,48.16803,54.71973,31.19855,81.55581
7.03125,6.88567,46.55433,64.99761,89.227
57.03125,55.69179,53.30169,56.09061,15.64493
82.03125,4.85435,62.40368,68.24263,54.58033
32.03125,36.11937,95.75787,53.86556,25.3032
44.53125,34.4535,12.97959,54.09873,96.1499
94.53125,4.09869,54.58801,43.35648,86.72518
69.53125,27.55695,49.29167,27.55512,59.43985
19.53125,75.59344,48.63937,14.40079,59.42857
13.28125,15.63286,56.4373,96.93176,4.71079
63.28125,90.00412,15.22418,64.14253,36.56231
88.28125,99.01828,45.51407,83.8104,21.05541
38.28125,16.72971,41.08626,14.82685,42.29699
25.78125,86.26067,87.39822,3.85701,88.81793
75.78125,91.11085,14.52131,37.38564,48.92154
50.78125,28.1399,71.20225,28.11408,43.15137
0.78125,76.15461,28.76286,56.16882,2.2281
1.17188,16.83213,9.51723,71.34725,88.45162
51.17188,9.57023,37.97285,49.55671,65.96259
76.17188,15.94902,66.78533,88.1576,88.06624
26.17188,75.90082,82.06734,31.76197,22.1904
38.67188,99.2157,41.10603,56.80535,73.68832
88.67188,12.76233,33.90979,7.6968,46.50752
63.67188,98.97811,61.48895,33.54826,30.83169
13.67188,2.80808,67.58196,66.01334,99.12856
19.92188,39.35244,42.05314,70.29937,41.93333
69.92188,17.48372,54.00208,58.16965,95.44782
94.92188,58.19893,74.97572,86.28494,70.10859
44.92188,13.3705,4.60889,76.67027,92.64345
32.42188,86.46988,96.32925,71.8844,52.21204
82.42188,75.19428,73.2828,28.75969,10.33858
57.42188,98.29276,39.52412,42.84082,7.57202
7.42188,42.44571,15.5905,89.82119,88.47375
10.54688,34.71707,77.72661,11.24683,8.56732
60.54688,72.24754,68.68392,73.63889,15.81684
85.54688,44.91062,17.72815,13.29286,93.0574
35.54688,27.26837,96.64197,61.69065,78.71512
48.04688,56.75309,47.47562,97.96287,47.92908
98.04688,38.2469,21.00756,84.68699,75.47527
73.04688,45.04033,32.3621,94.74614,42.63897
23.04688,24.72528,81.93509,9.95886,60.8312
16.79688,53.54526,36.43895,88.36887,77.08155
66.79688,70.02415,99.74206,96.3402,96.28799
91.79688,28.40121,21.34507,45.69007,72.16089
41.79688,42.08119,32.10839,1.16076,29.99472
29.29688,61.15657,77.87649,24.03906,31.65259
79.29688,51.67491,9.03486,25.69487,41.26846
54.29688,92.11749,92.92754,18.42829,42.76013
4.29688,87.634,99.80458,10.17526,2.42123
5.85938,19.21692,1.43787,99.26651,86.80795
55.85938,54.41527,59.71837,79.53453,44.81766
80.85938,77.12497,55.92108,33.73136,23.56011
30.85938,38.35828,57.02527,62.8457,29.94996
43.35938,34.31081,5.50866,17.00473,88.77063
93.35938,99.91399,47.22922,47.39919,81.31111
68.35938,66.70712,91.69255,72.1935,26.30222
18.35938,81.84726,26.50958,6.03089,15.97355
24.60938,46.27384,11.74619,31.97165,36.33189
74.60938,39.41172,28.66849,48.17697,26.95578
99.60938,32.65006,6.17262,49.35031,37.15909
49.60938,71.5737,68.57085,47.20352,2.00814
37.10938,88.39915,61.55044,2.68291,26.42865
87.10938,53.79972,34.4654,89.69954,40.64365
62.10938,11.01161,97.90191,24.43105,73.85933
12.10938,24.32785,36.61991,56.39708,38.71794
8.98438,37.67564,64.22908,98.46821,57.57533
58.98438,21.54878,29.02337,64.62576,68.42733
83.98438,54.3469,38.0513,95.11218,40.52916
33.98438,21.05812,2.19047,45.40814,61.67189
46.48438,62.94914,72.74501,30.63826,9.0036
96.48438,61.5425,34.07321,77.79715,45.98301
71.48438,45.09956,34.91879,16.19587,2.32157
21.48438,57.78393,39.62404,9.00222,88.69403
15.23438,63.19393,77.18375,24.48972,4.71139
65.23438,64.05699,74.48189,44.16263,98.47381
90.23438,1.48181,89.21081,18.45497,69.89731
40.23438,24.29041,38.77636,97.22526,6.62528
27.73438,90.14496,17.25914,4.35261,76.59289
77.73438,15.90623,78.16022,47.26533,5.31204
52.73438,0.3466,52.05433,57.66594,67.60298
2.73438,31.45919,87.77861,84.24087,93.90523
1.95313,23.61096,76.3275,54.77015,81.5287
51.95313,30.39007,56.62636,21.92919,44.29683
76.95313,0.68296,70.18352,59.08059,45.32232
26.95313,35.46504,66.32386,30.26391,82.54096
39.45313,9.50556,14.42396,42.61139,92.58131
89.45313,35.56586,6.42975,28.00123,56.02885
64.45313,83.00002,23.43329,77.49238,52.90703
14.45313,60.47873,31.38491,44.2979,59.19176
20.70313,5.75525,61.55026,15.61814,70.95741
70.70313,6.44302,94.58605,34.1308,45.97599
95.70313,4.32368,48.1997,48.67307,10.22315
45.70313,88.12887,69.97196,10.4112,45.35776
33.20313,54.06808,24.02899,21.89956,43.98
83.20313,88.00965,79.02311,42.49281,72.38036
58.20313,43.95134,49.29365,3.73711,34.42003
8.20313,18.36708,52.51226,52.69869,76.78538
11.32813,50.34781,54.40613,44.68155,50.23787
61.32813,71.84745,9.31818,0.7155,25.23957
86.32813,93.43722,72.68381,98.02696,26.6224
36.32813,14.25663,1.23332,51.84822,27.65114
48.82813,47.542,58.16953,36.64963,95.47924
98.82813,65.57087,49.60074,10.98035,82.8873
73.82813,80.12307,67.04096,98.33689,90.50383
23.82813,62.58526,67.80048,74.7949,7.35373
17.57813,77.92469,30.35237,60.51884,35.53864
67.57813,94.10951,46.51686,43.34609,94.08674
92.57813,11.64464,49.2554,11.82835,30.72713
42.57813,23.61463,47.70479,81.76371,65.26857
30.07813,45.90086,56.51606,53.73346,8.76824
80.07813,68.42632,49.61743,44.19785,85.53302
55.07813,89.25292,30.36575,33.20112,12.66693
5.07813,66.85685,25.39785,66.01932,99.13603
3.51563,97.00966,20.2327,69.91543,27.70052
53.51563,75.64101,96.51005,10.06127,98.39501
78.51563,90.55278,41.00968,65.17905,71.1597
28.51563,59.50355,88.90294,9.1662,45.83304
41.01563,2.84295,20.40508,50.06072,80.66381
91.01563,22.48418,22.45907,53.30203,52.73039
66.01563,9.71819,83.66515,68.07594,35.89769
16.01563,54.46585,33.57359,98.75441,48.64219
22.26563,43.75898,79.45396,93.76719,22.17917
72.26563,8.22152,1.7793,30.02702,13.27708
97.26563,80.0037,68.43686,65.82293,35.38736
47.26563,70.87032,22.59495,88.55622,97.94455
34.76563,96.15633,35.66622,94.29072,53.64333
84.76563,13.9131,35.3289,6.68264,7.04771
59.76563,96.40647,25.39298,67.84346,49.5805
9.76563,34.16427,99.2111,34.59593,81.21065
6.64063,0.2646,58.58209,39.10331,55.17041
56.64063,29.55235,57.76662,33.50058,2.24979
81.64063,73.20033,18.20649,49.57175,51.42731
31.64063,83.93087,50.83049,79.02161,91.08234
44.14063,74.59744,20.55623,62.24403,12.09984
94.14063,44.35751,58.53246,48.00363,57.58306
69.14063,21.04771,2.41832,31.00586,89.60428
19.14063,90.10697,86.51033,70.89771,4.50471
12.89063,68.23779,67.95119,30.67567,0.04276
62.89063,83.43285,52.23507,16.03013,83.53486
87.89063,87.32321,10.13784,68.54112,51.57516
37.89063,25.53803,14.82843,34.00843,38.53038
25.39063,1.46466,29.19765,82.50228,4.74151
75.39063,97.27709,42.98693,16.57226,87.1923
50.39063,72.98931,4.52911,61.89161,60.92806
0.39063,71.35706,1.78504,19.786,1.32454
0.58594,0.81567,21.57021,8.6759,83.29837
50.58594,18.22452,1.22736,9.86995,5.77626
75.58594,66.33723,40.43407,97.30265,63.09503
25.58594,2.69597,45.89365,7.50184,18.8739
38.08594,51.51509,1.87578,26.152,25.07909
88.08594,0.53166,53.46105,1.58484,71.13518
63.08594,77.12484,73.26638,9.93978,44.07687
13.08594,74.67876,16.79918,56.48825,0.51802
19.33594,70.96514,29.57715,36.44045,4.00309
69.33594,16.81858,18.0235,64.21664,20.82104
94.33594,41.79646,57.09884,57.86182,11.01026
44.33594,21.53065,7.31108,83.37462,64.46374
31.83594,41.05738,70.95073,83.95929,49.30849
81.83594,0.76052,27.19223,57.86207,54.56084
56.83594,44.55287,61.80116,16.34136,89.39544
6.83594,28.4022,61.52556,15.08175,23.89306
9.96094,24.87927,35.39262,38.66776,20.45038
59.96094,45.14956,89.55205,70.55738,59.08269
84.96094,80.49232,93.34294,91.48195,43.89981
34.96094,1.65239,44.69607,95.86589,7.3992
47.46094,83.39132,96.75913,17.65771,71.27253
97.46094,85.81093,98.40402,64.31996,56.82001
72.46094,9.39192,70.43752,45.74387,70.59663
22.46094,10.7041,87.81301,72.13505,83.76137
16.21094,81.64685,38.66077,9.58848,56.17449
66.21094,17.37079,99.47964,52.34998,57.30278
91.21094,95.1398,72.39663,1.78058,17.87771
41.21094,84.5168,77.3114,51.25424,25.44139
28.71094,14.18087,41.19746,3.58238,60.84892
78.71094,45.06482,16.21178,7.81845,7.10735
53.71094,77.22716,97.57857,42.03759,61.616
3.71094,96.28937,20.89517,42.80574,42.1719
5.27344,33.44945,85.12179,89.15775,73.62078
55.27344,39.69771,66.28448,32.75122,31.66348
80.27344,93.22689,94.34267,95.59255,25.70861
30.27344,23.73059,63.81711,64.82506,98.31496
42.77344,21.57027,94.06494,59.3332,6.03043
92.77344,43.81984,13.23286,13.9581,46.86578
67.77344,52.41104,84.97922,50.48556,96.46854
17.77344,2.00992,84.06413,13.78131,73.79625
24.02344,11.03789,58.42806,78.23256,27.1299
74.02344,81.60112,90.92094,51.55269,17.18822
99.02344,69.72584,2.185,44.6152,64.95731
49.02344,6.21783,9.14604,89.84368,81.87729
36.52344,33.77953,5.42959,81.38626,11.88097
86.52344,69.33375,23.39358,49.86238,31.70864
61.52344,29.02541,30.10898,7.00558,82.13993
11.52344,62.22454,95.19677,46.04178,31.22067
8.39844,75.24603,74.9688,48.31346,23.08522
58.39844,59.40033,33.65178,26.25116,7.23378
83.39844,56.7253,30.70056,36.32061,45.09821
33.39844,5.80414,46.78631,67.00521,98.02786
45.89844,93.8149,11.00772,41.49383,63.54927
95.89844,72.18263,98.10992,75.80209,45.08197
70.89844,51.70302,44.23343,38.32366,5.45906
20.89844,12.96598,50.72681,12.38733,21.01463
14.64844,35.92017,24.32258,15.90452,52.39776
64.64844,12.40719,80.07532,40.9531,37.57012
89.64844,31.91105,73.06973,55.91351,6.81023
39.64844,25.37051,54.69815,5.67511,62.15956
27.14844,21.05514,81.99435,0.07314,69.44824
77.14844,86.4169,11.51458,19.39603,90.64711
52.14844,23.38105,94.88283,11.62432,69.51883
2.14844,45.31732,89.55451,46.66447,68.84644
2.92969,90.5654,44.28503,76.9235,27.20107
52.92969,33.9528,52.9037,10.04528,36.66652
77.92969,52.42931,82.47711,83.24286,65.3787
27.92969,58.89027,6.59299,93.47516,40.98245
40.42969,80.98902,94.03217,72.8257,18.19313
90.42969,18.96283,21.95537,91.94537,34.62066
65.42969,21.56445,35.79007,3.10648,9.95128
15.42969,96.35222,1.20753,58.8332,94.48476
21.67969,3.88397,77.79497,97.8406,86.85897
71.67969,57.41961,85.97157,21.32131,54.05946
96.67969,90.41059,76.9571,0.66112,26.29415
46.67969,33.37678,13.50379,15.53382,51.41556
34.17969,23.53407,53.9977,70.2269,38.49635
84.17969,11.25775,98.19743,74.78306,72.92043
59.17969,63.73126,14.87529,25.10026,48.66182
9.17969,60.5627,13.92488,55.88243,1.49497
12.30469,76.5979,50.16758,99.41179,93.3891
62.30469,97.98266,48.73138,27.54268,25.58448
87.30469,30.96219,23.18391,14.74847,44.24355
37.30469,11.39395,55.60955,52.90112,51.91601
49.80469,65.74674,28.15888,27.49985,12.53266
99.80469,19.59846,61.80995,85.69131,60.10872
74.80469,53.5871,13.60021,78.52927,38.41801
24.80469,45.67887,3.89492,92.32721,1.66024
18.55469,59.34308,74.28708,78.10648,59.18964
68.55469,67.74663,25.02431,97.31735,69.26127
93.55469,16.17177,22.84779,25.74423,23.28065
43.55469,61.49142,67.83076,80.86346,52.41239
31.05469,95.16288,65.01044,15.5416,42.01764
81.05469,68.09756,60.38169,86.38432,84.80757
56.05469,17.66215,18.21032,9.79619,22.63568
6.05469,18.44833,13.78606,35.65534,37.72226
4.49219,79.50991,48.18527,24.22519,88.26565
54.49219,92.91974,38.53878,29.22756,95.72049
79.49219,45.71589,6.95627,7.72248,59.85141
29.49219,98.2296,39.18957,81.83419,8.37566
41.99219,24.01952,69.85734,23.53072,1.12172
91.99219,1.31122,43.46111,39.16588,11.09805
66.99219,50.06257,98.51139,96.59516,2.05819
16.99219,29.52014,0.19759,2.31913,44.18735
23.24219,26.16415,30.03473,31.83519,72.81175
73.24219,34.15313,81.72302,15.62281,71.32453
98.24219,77.58206,15.9338,57.53293,85.93078
48.24219,93.5137,46.13079,99.42663,6.67656
35.74219,41.90869,10.61508,1.67055,90.26581
85.74219,17.98284,52.95615,37.06429,76.97003
60.74219,21.62475,65.4448,2.61623,85.90772
10.74219,75.72391,47.68667,36.63424,36.97625
7.61719,61.14153,42.92341,51.50207,20.36264
57.61719,75.14521,13.17389,23.95498,73.96466
82.61719,60.33922,99.09048,11.41106,13.04253
32.61719,25.55061,29.48517,94.12244,80.33453
45.11719,85.56728,75.00319,10.62369,13.04204
95.11719,64.95779,50.43341,68.38382,14.95217
70.11719,87.31874,16.16213,30.60441,67.95125
20.11719,91.93469,24.27329,66.07395,6.14015
13.86719,59.81274,55.85267,58.74087,99.97458
63.86719,23.41214,85.17174,0.83219,39.94261
88.86719,45.0764,27.38669,73.05239,23.44176
38.86719,45.97795,62.23898,42.87333,83.36322
26.36719,13.85948,14.71944,33.72989,96.24634
76.36719,43.98462,87.20954,61.02833,16.91579
51.36719,42.91616,12.37498,97.40305,24.60157
1.36719,32.25216,57.97705,50.55258,68.09028
0.97656,8.18895,74.86114,45.22481,65.38913
50.97656,91.62219,35.48768,77.5193,45.06252
75.97656,2.3132,43.30782,70.16138,81.68891
25.97656,36.05893,26.79554,61.97603,97.87516
38.47656,61.85822,26.87906,16.23227,8.95035
88.47656,14.96611,3.74624,88.05623,82.50159
63.47656,75.95448,37.74283,31.32233,27.89785
13.47656,97.61152,83.45655,46.18374,19.08735
19.72656,16.05226,10.23639,58.02346,93.48264
69.72656,13.51765,20.8035,80.80888,33.12605
94.72656,71.70305,45.81645,2.75578,39.83836
44.72656,51.81467,25.88567,7.10057,48.38382
32.22656,94.29199,43.58903,73.45086,36.74103
82.22656,38.52839,64.35304,80.62209,61.50249
57.22656,61.88212,81.25794,11.49711,27.91966
7.22656,27.62697,49.54348,52.04961,45.89177
10.35156,64.74482,12.8447,90.39976,48.08978
60.35156,78.06199,48.9508,2.10111,34.00647
85.35156,26.73829,94.17489,55.72034,15.29099
35.35156,1.83794,41.11165,15.88203,10.71251
47.85156,86.32175,83.07773,93.82553,26.26631
97.85156,56.74935,57.11183,91.80083,64.79905
72.85156,69.91522,39.84337,61.81955,92.94737
22.85156,74.24709,53.57105,53.02266,71.49209
16.60156,38.66622,47.90277,30.46963,95.91676
66.60156,85.58323,63.48357,8.79236,18.09986
91.60156,49.12369,68.70043,91.32758,71.52923
41.60156,16.79059,88.81017,64.80954,48.31481
29.10156,9.36398,18.49084,10.16814,82.99156
79.10156,69.10004,46.18255,65.62899,94.84415
54.10156,86.6918,73.10671,57.96005,29.93972
4.10156,53.25492,46.77667,71.61749,28.37321
5.66406,23.5573,58.00839,26.26783,98.79659
55.66406,81.93518,83.50325,67.33803,29.6332
80.66406,83.75248,23.06424,51.57013,92.28137
30.66406,1.00401,4.94251,6.28549,43.15072
43.16406,6.43492,52.00188,3.00054,86.40707
93.16406,58.27691,26.93776,15.15508,77.56812
68.16406,41.89934,81.70414,29.97223,95.12757
18.16406,23.81541,26.30275,83.62646,1.55215
24.41406,34.58085,1.86854,57.56533,37.8889
74.41406,54.72643,52.63025,38.58932,63.81029
99.41406,12.79438,41.66215,78.19393,20.47557
49.41406,88.52892,99.20502,35.48853,32.52306
36.91406,44.06685,74.27709,25.66456,18.01825
86.91406,8.08956,48.70759,98.12961,38.61748
61.91406,49.16053,34.75009,26.64754,22.73686
11.91406,86.53422,93.14656,98.20183,90.01986
8.78906,56.53905,51.74003,75.30866,13.5615
58.78906,6.33502,99.82981,67.33765,5.69508
83.78906,54.22357,8.86049,99.66548,98.66289
33.78906,47.80934,33.17054,0.57872,89.23133
46.28906,31.56799,42.40284,27.89454,2.52896
96.28906,80.78778,42.05277,34.42546,32.72636
71.28906,52.23345,69.51652,39.48867,52.67065
21.28906,57.78065,3.47871,91.28725,25.44813
15.03906,49.33724,22.2621,22.49471,32.2514
65.03906,86.56423,0.54117,37.93712,59.9967
90.03906,0.41035,18.60337,38.31797,40.35181
40.03906,17.06399,9.27442,81.50161,56.819
27.53906,31.27777,81.94105,45.05158,97.9369
77.53906,84.00251,78.68768,73.6081,7.2991
52.53906,79.40567,29.28,69.9947,61.25294
2.53906,31.18271,41.16367,75.74581,94.13632
1.75781,3.14508,76.32199,32.74657,15.18476
51.75781,10.07005,82.27571,89.96794,2.9468
76.75781,19.73176,32.90361,87.46991,41.11827
26.75781,43.80681,69.10599,75.27164,26.49429
39.25781,65.56585,53.79758,20.49982,33.60273
89.25781,84.40579,74.58687,26.86944,5.69667
64.25781,98.50295,2.85427,30.05465,20.17083
14.25781,68.27539,24.57368,34.27736,53.17332
20.50781,34.01615,60.24999,77.63473,33.1396
70.50781,60.29933,40.94356,76.9651,64.49182
95.50781,82.24071,12.40363,51.92825,91.5274
45.50781,39.9339,86.91737,47.59409,75.07905
33.00781,67.28088,6.19179,26.81259,65.9108
83.00781,56.13234,15.41476,66.63025,21.09674
58.00781,61.39116,59.66351,97.94726,60.92739
8.00781,87.4847,28.98661,77.62195,84.75598
11.13281,37.31256,99.29173,8.24162,95.39471
61.13281,9.53619,86.674,13.63387,37.38196
86.13281,36.74712,74.52011,0.32515,41.41305
36.13281,28.34257,34.98104,46.8521,55.91277
48.63281,58.36712,81.85091,83.92629,74.93099
98.63281,3.82778,21.99724,74.42742,48.75576
73.63281,57.82145,66.89315,29.92007,95.33905
23.63281,40.13536,35.12433,53.7025,52.67753
17.38281,80.17704,73.21816,63.22417,75.72812
67.38281,76.67462,53.97945,96.96314,23.82702
92.38281,38.08573,86.3627,0.34156,93.3009
42.38281,55.28975,9.16738,10.73954,78.98608
29.88281,67.31152,1.44757,21.28482,39.99985
79.88281,24.89885,60.12429,16.74265,3.42475
54.88281,82.14945,51.33918,74.42008,21.18064
4.88281,37.41692,38.06548,58.50014,37.70022
3.32031,97.97024,0.83207,93.35319,42.9581
53.32031,65.89257,88.54084,0.17351,22.41327
78.32031,24.99034,45.78237,86.32203,2.49868
28.32031,24.40221,57.02668,57.89942,42.04355
40.82031,48.38827,30.70625,48.83473,50.89339
90.82031,0.9085,41.27591,10.09548,67.43359
65.82031,58.68956,30.88005,81.87961,41.25406
15.82031,84.3523,79.49391,61.48186,20.76645
22.07031,33.57978,29.12701,57.33787,6.23388
72.07031,1.96734,80.66956,66.60365,99.02918
97.07031,99.12137,16.77867,72.04067,99.96987
47.07031,42.92334,13.09799,24.21036,5.56837
34.57031,58.733,86.4093,17.54412,76.2739
84.57031,43.16353,93.77204,65.90676,6.71267
59.57031,89.92652,12.91631,68.81856,40.59067
9.57031,91.199,41.36651,34.21682,81.70694
6.44531,83.6193,55.72406,68.47091,5.3422
56.44531,10.49076,70.30888,98.88068,86.83204
81.44531,78.10829,19.98373,27.42045,96.4059
31.44531,1.08551,99.61443,40.31426,75.16799
43.94531,52.69026,41.6549,27.92193,14.81685
93.94531,78.11275,80.02377,23.47447,87.66678
68.94531,68.70861,13.27107,16.13962,51.3892
18.94531,35.928,82.46389,65.22526,98.43195
12.69531,39.08388,80.95944,91.66568,50.64859
62.69531,39.70021,93.89617,1.09632,82.0771
87.69531,54.8918,77.18006,99.62816,18.46407
37.69531,0.3546,42.34543,64.75296,29.94696
25.19531,52.44786,63.15422,74.76036,83.73507
75.19531,21.37546,58.89499,15.42811,13.9832
50.19531,14.06769,50.05945,78.69172,39.19247
0.19531,41.81278,12.34881,78.91742,63.30894
0.29297,58.35258,24.14049,70.8475,77.96416
50.29297,89.7916,71.42184,64.63676,90.84821
75.29297,15.99251,32.17242,46.17834,35.28916
25.29297,63.87832,83.84139,3.02067,55.97397
37.79297,3.15311,65.94488,94.83215,91.78978
87.79297,10.83407,50.56819,67.47707,16.11119
62.79297,92.00506,0.43395,87.87853,7.79666
12.79297,89.06373,22.00284,70.6352,61.54814
19.04297,0.92164,61.35722,62.38982,8.66293
69.04297,57.66702,51.96884,30.1254,76.00843
94.04297,14.45352,7.98903,29.62974,55.74703
44.04297,65.61634,99.38616,57.93842,2.03082
31.54297,89.63534,95.95144,99.502,66.23652
81.54297,83.48017,7.20889,77.79377,80.56316
56.54297,15.30028,30.61627,11.80526,23.30033
6.54297,68.81612,68.0695,53.93941,40.07113
9.66797,55.74587,78.91049,21.86336,68.49078
59.66797,8.86447,83.44234,40.44878,24.86104
84.66797,79.1531,51.86257,95.89576,10.20613
34.66797,57.56717,31.33814,34.5545,47.45071
47.16797,2.45268,62.22849,36.95307,94.29687
97.16797,49.74418,91.4715,50.48238,20.18837
72.16797,5.66441,48.75839,38.84039,43.19294
22.16797,81.07949,15.42893,6.36602,10.68031
15.91797,28.1952,59.34758,13.85913,54.49665
65.91797,30.79861,73.06344,85.67629,86.23567
90.91797,18.66514,36.37512,75.1953,81.69989
40.91797,56.90753,96.86361,97.41383,98.80092
28.41797,45.74278,82.07676,89.05257,54.24599
78.41797,45.65713,97.5752,26.20507,79.14747
53.41797,41.82985,23.35925,96.90978,49.94495
3.41797,65.5004,97.13335,22.67462,57.17549
4.98047,67.89764,26.55167,22.71753,24.08507
54.98047,32.89686,69.31454,58.17311,58.85086
79.98047,67.57122,4.51994,96.18211,75.82571
29.98047,48.38741,7.74106,23.60086,23.82864
42.48047,93.37056,27.37654,95.02626,23.52255
92.48047,16.80254,28.99043,13.56447,47.68272
67.48047,44.7909,11.96881,28.67885,50.72978
17.48047,0.47236,84.81872,13.30276,62.24008
23.73047,28.83675,80.74942,92.3708,4.90293
73.73047,41.90259,57.9885,19.24579,22.99583
98.73047,32.89556,40.13956,14.50686,93.24999
48.73047,93.01087,44.54022,96.59032,92.28502
36.23047,1.03127,61.19305,89.3868,31.51204
86.23047,89.25245,62.0233,13.37937,22.30413
61.23047,9.01235,52.25614,12.05542,2.34168
11.23047,1.54336,70.32883,39.85969,45.6218
